Scenario,Algorithm,Run,Schedule
Medium,GA_Repair,6,"{'Stream_A': 0, 'Stream_B': 1, 'Stream_C': 7, 'Stream_D': 5, 'Stream_E': 4}"
Medium,RL_PPO,6,"{'Stream_A': 5, 'Stream_B': 5, 'Stream_C': 0, 'Stream_D': 0, 'Stream_E': 0}"
Medium,RL_PPO_Repair,6,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 3, 'Stream_D': 6, 'Stream_E': 0}"
Medium,SA,6,"{'Stream_A': 0, 'Stream_B': 4, 'Stream_C': 7, 'Stream_D': 1, 'Stream_E': 12}"
Medium,SA_Repair,6,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 4, 'Stream_D': 2, 'Stream_E': 10}"
Medium,Z3_Only,6,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 2, 'Stream_D': 4, 'Stream_E': 0}"
Medium,GA,7,"{'Stream_A': 1, 'Stream_B': 3, 'Stream_C': 4, 'Stream_D': 0, 'Stream_E': 12}"
Medium,GA_Repair,7,"{'Stream_A': 0, 'Stream_B': 3, 'Stream_C': 5, 'Stream_D': 0, 'Stream_E': 10}"
Medium,RL_PPO,7,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0, 'Stream_D': 0, 'Stream_E': 0}"
Medium,RL_PPO_Repair,7,"{'Stream_A': 2, 'Stream_B': 5, 'Stream_C': 6, 'Stream_D': 2, 'Stream_E': 0}"
Medium,SA,7,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 8, 'Stream_D': 7, 'Stream_E': 14}"
Medium,SA_Repair,7,"{'Stream_A': 0, 'Stream_B': 3, 'Stream_C': 9, 'Stream_D': 0, 'Stream_E': 7}"
Medium,Z3_Only,7,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 2, 'Stream_D': 4, 'Stream_E': 0}"
Medium,GA,8,"{'Stream_A': 0, 'Stream_B': 4, 'Stream_C': 4, 'Stream_D': 1, 'Stream_E': 10}"
Medium,GA_Repair,8,"{'Stream_A': 4, 'Stream_B': 7, 'Stream_C': 2, 'Stream_D': 0, 'Stream_E': 14}"
Medium,RL_PPO,8,"{'Stream_A': 3, 'Stream_B': 5, 'Stream_C': 1, 'Stream_D': 1, 'Stream_E': 1}"
Medium,RL_PPO_Repair,8,"{'Stream_A': 4, 'Stream_B': 5, 'Stream_C': 7, 'Stream_D': 3, 'Stream_E': 1}"
Medium,SA,8,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 9, 'Stream_D': 8, 'Stream_E': 13}"
Medium,SA_Repair,8,"{'Stream_A': 1, 'Stream_B': 5, 'Stream_C': 4, 'Stream_D': 1, 'Stream_E': 11}"
Medium,Z3_Only,8,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 2, 'Stream_D': 4, 'Stream_E': 0}"
Medium,GA,9,"{'Stream_A': 0, 'Stream_B': 3, 'Stream_C': 7, 'Stream_D': 0, 'Stream_E': 14}"
Medium,GA_Repair,9,"{'Stream_A': 0, 'Stream_B': 3, 'Stream_C': 10, 'Stream_D': 7, 'Stream_E': 13}"
Medium,RL_PPO,9,"{'Stream_A': 4, 'Stream_B': 0, 'Stream_C': 0, 'Stream_D': 0, 'Stream_E': 0}"
Medium,RL_PPO_Repair,9,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 3, 'Stream_D': 6, 'Stream_E': 0}"
Medium,SA,9,"{'Stream_A': 2, 'Stream_B': 5, 'Stream_C': 0, 'Stream_D': 1, 'Stream_E': 12}"
Medium,SA_Repair,9,"{'Stream_A': 2, 'Stream_B': 4, 'Stream_C': 9, 'Stream_D': 8, 'Stream_E': 14}"
Medium,Z3_Only,9,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 2, 'Stream_D': 4, 'Stream_E': 0}"
Medium,GA,10,"{'Stream_A': 6, 'Stream_B': 1, 'Stream_C': 9, 'Stream_D': 5, 'Stream_E': 4}"
Medium,GA_Repair,10,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 7, 'Stream_D': 8, 'Stream_E': 3}"
Medium,RL_PPO,10,"{'Stream_A': 4, 'Stream_B': 1, 'Stream_C': 1, 'Stream_D': 1, 'Stream_E': 1}"
Medium,RL_PPO_Repair,10,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 3, 'Stream_D': 6, 'Stream_E': 0}"
Medium,SA,10,"{'Stream_A': 0, 'Stream_B': 4, 'Stream_C': 8, 'Stream_D': 9, 'Stream_E': 3}"
Medium,SA_Repair,10,"{'Stream_A': 3, 'Stream_B': 5, 'Stream_C': 1, 'Stream_D': 1, 'Stream_E': 13}"
Medium,Z3_Only,10,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 2, 'Stream_D': 4, 'Stream_E': 0}"
