Scenario,Algorithm,Run,Seed,Penalty,Feasible,Z3_Verified,Collision_Count,Deadline_Violations,Total_Deadline_Lateness,Total_Latency,Max_Latency,Train_Time,Inference_or_Search_Time
Medium,RL_PPO_Repair,9,99,0,True,True,0,0,0,30,9,16.46787738800049,0.00587153434753418
Medium,SA,9,99,0,True,True,0,0,0,30,9,-,0.02488255500793457
Medium,SA_Repair,9,99,0,True,True,0,0,0,30,9,-,0.025176048278808594
Medium,Z3_Only,9,99,0,True,True,0,0,0,30,9,-,0.009093284606933594
Medium,GA,10,111,10,False,False,0,1,1,30,9,-,0.11467790603637695
Medium,GA_Repair,10,111,0,True,True,0,0,0,30,9,-,0.12435269355773926
Medium,RL_PPO,10,111,160,False,False,4,0,0,30,9,17.544440269470215,0.004762411117553711
Medium,RL_PPO_Repair,10,111,0,True,True,0,0,0,30,9,17.709210872650146,0.003675222396850586
Medium,SA,10,111,0,True,True,0,0,0,30,9,-,0.010870218276977539
Medium,SA_Repair,10,111,0,True,True,0,0,0,30,9,-,0.014447689056396484
Medium,Z3_Only,10,111,0,True,True,0,0,0,30,9,-,0.0075147151947021484
